DeviceName,Description,MedicalSpecialtyArea,MedicalDeviceClass,DeviceRegistrationNo,RegistrationDate,ChangeNotificationApprovalDate,DeviceSystemInfo,ProductOwner,Registrant,Url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1stQ AddOn Intraocular Lens (Spherical)[1stQ GmbH],"1stQ AddOn IOLs are intended for implantation into the ciliary sulcus of the pseudophakic adult eye, after implantation of an IOL into the capsular bag. AddOn refractive IOLs are intended to provide adjustment to the dioptric power of the pseudophakic eye. AddOn progressive IOLs are intended to provide far, intermediate and near vision capabilities and to provide adjustment to the dioptric power of the pseudophakic eye.",Ophthalmology,Class C medical device,DE0504038,16/01/2020,Not Applicable,"[Sterile Medical Device], steam sterilisation","1.  1stQ GmbH 
       [1stQ GmbH] Harrlachweg 1, 68163 Mannheim, GERMANY","1.  SWISSMED PTE. LTD. 
     
      2 KALLANG AVENUE, CT HUB,  #09-19, SINGAPORE 339407",https://eservice.hsa.gov.sg/medics/md/mdEnquiry.do?action=getDeviceInfo&devId=C5021F413032-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1stQ AddOn Intraocular Lens (Toric)[1stQ GmbH],"All 1stQ AddOn IOLs are indicated for implantation into the ciliary sulcus of the pseudophakic eye after implantation of an intraocular lens into the capsular bag. Refractive AddOn IOLs are intended to provide adjustment to the dioptric power of the pseudophakic eye. Diffractive AddOn IOLs are intended to provide far, intermediate and near vision capabilities with increased spectacle independence and to provide adjustment to the dioptric power of the pseudophakic eye. Toric AddOn IOLs are intended to provide adjustment for astigmatism and to provide adjustment to the dioptric power of the pseudophakic eye.",Ophthalmology,Class C medical device,DE0504316,3/4/2020,Not Applicable,"[Sterile Medical Device], The IOL has been sterilized by steam after being packed under clean room conditions.","1.  1stQ GmbH 
       [1stQ GmbH] Harrlachweg 1, 68163 Mannheim, GERMANY","1.  SWISSMED PTE. LTD. 
     
      2 KALLANG AVENUE, CT HUB,  #09-19, SINGAPORE 339407",https://eservice.hsa.gov.sg/medics/md/mdEnquiry.do?action=getDeviceInfo&devId=C5022141514D-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-D Matrix PuraStat®Absorbable Haemostat[3-D Matrix Europe SAS],"PuraStat is indicated for haemostasis in the following situations encountered during surgery, when haemostasis by ligation or standard means is insufficient or impractical: 
• Bleeding from small blood vessels and oozing from capillaries of the parenchyma of solid organs
• Oozing from vascular anastomoses
• Bleeding from small blood vessels and oozing from capillaries of the GI tract following surgical procedures. 
PuraStat is also indicated for the reduction of delayed bleeding following gastrointestinal endoscopic submucosal dissection (ESD) procedures in the colon.",General & Plastic Surgery,Class D medical device,DE0016290,3/9/2014,19/08/2019,"[Sterile Medical Device], PuraStat is a synthetic haemostatic material in the form of a prefilled syringe, sterilized by aseptic filtration. The outer surface of the syringe and inner surface of the blister pack are sterilized by ethylene oxide.","1.  3-D Matrix Europe SAS 
       [3-D Matrix Europe SAS] 11 Chemin des Petites Brosses, 69300 Caluire et Cuire, France, FRANC...","1.  3-D MATRIX ASIA PTE. LTD. 
     
      9 RAFFLES PLACE, REPUBLIC PLAZA,  #58-00, SINGAPORE 048619",https://eservice.hsa.gov.sg/medics/md/mdEnquiry.do?action=getDeviceInfo&devId=C40A633A5E-i14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3A Health Care OMRON Compressor Nebulizer with Nasal Aspirator[3A HEALTH CARE S.r.l.],"The intended purpose of this product is to allow for nebulization treatment of respiratory tract disorders and remove mucus from the nasal cavities to ease breathing. The product is intended for persons from the age of 1 month who suffer from upper airway conditions (such as blocked nose, cold, allergies) and/or lower respiratory conditions (such as asthma, bronchitis, bronchiolitis).",General Hospital,Class B medical device,DE0503486,19/08/2019,Not Applicable,"[System or Procedure Pack], System or Procedure Pack: OMRON Compressor Nebulizer with Nasal Aspirator DuoBaby (NE-C301-AP) comprised of compressor (main unit), nebulizer kit, mouthpiece, air tube, air filter, mask and nasal aspirator.","1.  3A HEALTH CARE S.r.l. 
       [3A HEALTH CARE S.r.l.] Via Marziale Cerutti, 90F/G, 25017 Lonato del Garda (BS), ITALY","1.  OMRON HEALTHCARE SINGAPORE PTE LTD 
     
      438A ALEXANDRA ROAD, ALEXANDRA TECHNOPARK,  #05-05/08, SINGAPORE 119967",https://eservice.hsa.gov.sg/medics/md/mdEnquiry.do?action=getDeviceInfo&devId=C50219092E5D-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M Bair Hugger™ Temperature Monitoring System[3M Company],"Measure, monitor, and trend body temperature of adult and pediatric patients.",General Hospital,Class B medical device,DE0016333,17/09/2014,30/04/2021,"[System or Procedure Pack], System","1.  3M Company 
       [3M Company] 2510 Conway Avenue, St Paul, 55144, Minnesota, UNITED STATES","1.  3M TECHNOLOGIES (S) PTE. LTD. 
     
      10 ANG MO KIO STREET 65, TECHPOINT,  #01-01, SINGAPORE 569059",https://eservice.hsa.gov.sg/medics/md/mdEnquiry.do?action=getDeviceInfo&devId=C40B033F28-i14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M ESPE RelyX U200 Automix[3M Deutschland GmbH],"• Final cementing of all-ceramic, composite, or metal inlays, onlays, crowns,
and bridges; 2-3-unit Maryland bridges and 3-unit inlay/onlay bridges
(contraindicated for patients with bruxism or periodontitis)
• Final cementing of posts and screws
• Final cementation of all-ceramic, composite, or metal restorations on implant
abutments
• Final cementation of Lava™ zirconia build-ups for two-piece abutments -
only in accordance with the Instructions for Use for Lava™ Frame or Lava™
Plus respectively",Dental,Class B medical device,DE0008816,7/3/2012,22/07/2013,"[System or Procedure Pack], System or Procedure Pack","1.  3M Deutschland GmbH 
       [3M Deutschland GmbH] Carl-Schurz-Straße 1, 41453 Neuss, GERMANY","1.  3M TECHNOLOGIES (S) PTE. LTD. 
     
      10 ANG MO KIO STREET 65, TECHPOINT,  #01-01, SINGAPORE 569059",https://eservice.hsa.gov.sg/medics/md/mdEnquiry.do?action=getDeviceInfo&devId=C405103550-i12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M ESPE Lava™ Frame Zirconia Mill Blanks[3M Deutschland GmbH],"Lava™ Frame Zirconia mill blanks (available in sizes 20, 20XL, 40, 60, Multi and Multi XL*) are used for the fabrication of all-ceramic restorations.",Dental,Class B medical device,DE0012482,1/3/2013,Not Applicable,"[System or Procedure Pack], i) System or Procedure Pack - system consists of Lava Frame and Lava Frame Shade","1.  3M Deutschland GmbH 
       [3M Deutschland GmbH] Carl-Schurz-Str. 1, 41453 Neuss, GERMANY","1.  3M TECHNOLOGIES (S) PTE. LTD. 
     
      10 ANG MO KIO STREET 65, TECHPOINT,  #01-01, SINGAPORE 569059",https://eservice.hsa.gov.sg/medics/md/mdEnquiry.do?action=getDeviceInfo&devId=C4074A4431-i13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M ESPE MDI Mini Dental Implant System[3M ESPE Dental],"Self-tapping, titanium threaded screws threaded screws indicated for long-term intra-bony applications.  Additionally, the MDI may be used for intra-radicular transitional applications. These devices will permit immediate splinting stability and long-term fixation of new or existing crown or bridge installations, for full or partial edentulism, and employing minimally invasive surgical intervention.",Dental,Class C medical device,DE0005183,1/7/2010,19/09/2013,"[System or Procedure Pack], [Sterile Medical Device], The implants are gamma sterilized. The SYSTEM contains the implants, stainless steel dental instruments and accessories.","1.  3M ESPE Dental Products 
       [3M ESPE Dental] 3M Center, St. Paul, MN 55144-1000, UNITED STATES","1.  3M TECHNOLOGIES (S) PTE. LTD. 
     
      10 ANG MO KIO STREET 65, TECHPOINT,  #01-01, SINGAPORE 569059",https://eservice.hsa.gov.sg/medics/md/mdEnquiry.do?action=getDeviceInfo&devId=C3192926-i10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M ESPE RelyX™ U200[3M Deutschland GmbH],"•Final cementing of all-ceramic, composite, or metal inlays, onlays, crowns,
and bridges; 2-3-unit Maryland bridges and 3-unit inlay/onlay bridges
(contraindicated for patients with bruxism or periodontitis)
• Final cementing of posts and screws
• Final cementation of all-ceramic, composite, or metal restorations on implant abutments
• Final cementation of Lava™ zirconia build-ups for two-piece abutments - only in accordance with the Instructions for Use for Lava™ Frame or Lava™ Plus respectively",Dental,Class B medical device,DE0008817,7/3/2012,22/07/2013,"[System or Procedure Pack], System or Procedure Pack","1.  3M Deutschland GmbH 
       [3M Deutschland GmbH] Carl-Schurz-Straße 1, 41453 Neuss, GERMANY","1.  3M TECHNOLOGIES (S) PTE. LTD. 
     
      10 ANG MO KIO STREET 65, TECHPOINT,  #01-01, SINGAPORE 569059",https://eservice.hsa.gov.sg/medics/md/mdEnquiry.do?action=getDeviceInfo&devId=C405103613-i12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
