Labname,LicenseeName,LicencePeriod,HCICode,UEN,Tel,Fax,Adress,LaboratoryManager,SpecialTests,Url,warning,error
ACM GLOBAL CENTRAL LABORATORY (SINGAPORE) PTE. LTD.,Stanley Tam Wai Man,"01/08/2018to
									31/07/2023 
										
										
											[ 5 Years ]",9700155,200103956K,65424784,"65427238
								 ","11
						CHANGI NORTH STREET 1
						
							Changi North Industrial Estate
							
						
						#04-05/09
						Singapore 498823",Stanley Tam Wai Man,Human Immunodeficiency Virus (HIV) Test,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=2SEHQ-kswy4isBZEJi81vfW2cIXrkLw1HPFzEfKjQUn6Z4NIWEiT!-2119202606!-858717092&task=view&toBack=search&pkId=1370,,
ACUMEN DIAGNOSTICS PTE. LTD.,Chiew Yoke Fong,"16/09/2020to
									15/09/2022 
										
										
											[ 2 Years ]",20I0257,202011228E,69800080,"81271701
								 ","41
						SCIENCE PARK ROAD
						
							THE GEMINI
							
						
						#01-02
						Singapore 117610",Lynn Chan Yee Wen,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=2SEHQ-kswy4isBZEJi81vfW2cIXrkLw1HPFzEfKjQUn6Z4NIWEiT!-2119202606!-858717092&task=view&toBack=search&pkId=47315,,
ADMIRALTY MEDICAL CENTRE LABORATORY SERVICES,Wong Moh Sim,"15/06/2019to
									14/06/2021 
										
										
											[ 2 Years ]",17I0178,201618776K,68078000,"6807 8090
								 ","BLK 
					   
						676
						WOODLANDS DRIVE 71
						
							Kampung Admiralty
							
						
						#03-01
						Singapore 730676",Jesse Boyer Godfroy,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=2SEHQ-kswy4isBZEJi81vfW2cIXrkLw1HPFzEfKjQUn6Z4NIWEiT!-2119202606!-858717092&task=view&toBack=search&pkId=45895,,
ADMIRALTY MEDICAL CENTRE RADIOLOGY SERVICES,Chou Hong,"15/06/2019to
									14/06/2021 
										
										
											[ 2 Years ]",17X0177,201618776K,68078000,"68078351
								 ","BLK 
					   
						676
						WOODLANDS DRIVE 71
						
							Kampung Admiralty
							
						
						#03-01
						Singapore 730676",Lee Chan Bing Jasmine,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=2SEHQ-kswy4isBZEJi81vfW2cIXrkLw1HPFzEfKjQUn6Z4NIWEiT!-2119202606!-858717092&task=view&toBack=search&pkId=45894,,
ADVANCE RADIOLOGY SERVICES,Ting Yuik-Sing Eric,"04/12/2019to
									03/12/2024 
										
										
											[ 5 Years ]",15X0123,53274901D,67421156,"67426191
								 ","BLK 
					   
						301
						UBI AVENUE 1
						
						#01-269 (GROUND LEVEL)
						Singapore 400301",Tan Hui Cher,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=2SEHQ-kswy4isBZEJi81vfW2cIXrkLw1HPFzEfKjQUn6Z4NIWEiT!-2119202606!-858717092&task=view&toBack=search&pkId=45001,,
ADVANCED MEDICINE IMAGING,Kwek Boon Han,"16/03/2020to
									15/03/2022 
										
										
											[ 2 Years ]",18X0065,201723502H,67087888,"67087899
								 ","1
						BIOPOLIS DRIVE
						
							AMNIOS
							
						
						#01-02 / 03
						Singapore 138622",Kwek Boon Han,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=2SEHQ-kswy4isBZEJi81vfW2cIXrkLw1HPFzEfKjQUn6Z4NIWEiT!-2119202606!-858717092&task=view&toBack=search&pkId=46318,,
ALJUNIED X-RAY CENTRE,Ng Keng Sin,"09/12/2019to
									08/12/2021 
										
										
											[ 2 Years ]",9700228,53098201C,6568484624,"67430715
								 ","78
						LORONG 25A GEYLANG ROAD
						
						
						Singapore 388259",FLORES GERALINE OLASIMAN,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=2SEHQ-kswy4isBZEJi81vfW2cIXrkLw1HPFzEfKjQUn6Z4NIWEiT!-2119202606!-858717092&task=view&toBack=search&pkId=36671,,
ALS TECHNICHEM (S) PTE LTD,Yao Kaiwen,"01/04/2021to
									31/03/2023 
										
										
											[ 2 Years ]",9700216,198403076R,65890118,"62839689
								 ","121
						GENTING LANE
						
							ALS BUILDING
							
						
						#03-01
						Singapore 349572",Chan Mei Hong,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=2SEHQ-kswy4isBZEJi81vfW2cIXrkLw1HPFzEfKjQUn6Z4NIWEiT!-2119202606!-858717092&task=view&toBack=search&pkId=36131,,
ALS TECHNICHEM (S) PTE LTD,Yao Kaiwen,"04/04/2021to
									03/04/2023 
										
										
											[ 2 Years ]",13I0002,198403076R,65890118,"62839689
								 ","121
						GENTING LANE
						
							ALS Building
							
						
						#04-01
						Singapore 349572",Chan Mei Hong,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=2SEHQ-kswy4isBZEJi81vfW2cIXrkLw1HPFzEfKjQUn6Z4NIWEiT!-2119202606!-858717092&task=view&toBack=search&pkId=43500,,
ALVERNIA OBSTETRIC SCREENING CENTRE,Tan Yew Teck Tony,"27/02/2021to
									26/02/2023 
										
										
											[ 2 Years ]",21X0108,202035934W,69724498,"62595468
								 ","820
						THOMSON ROAD
						
							MOUNT ALVERNIA HOSPITAL
							
						
						#07-67
						Singapore 574623",Yap Pang Mui Millia,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=2SEHQ-kswy4isBZEJi81vfW2cIXrkLw1HPFzEfKjQUn6Z4NIWEiT!-2119202606!-858717092&task=view&toBack=search&pkId=47543,,
